番号,単　語,品詞,意　味,用　例,チェック
1,a (an),冠,"１つの、１人の
（すぐ後ろの単語が母音で始まる時は、anを使う）",I have a dog.,
2,able,形,※be able to～　　～することができる,I want to be able to speak English.,
3,about,前・副,"①（前）～について　　　
②（副）約、だいたい","①I want to know about Australia.
②Our school has about 300 students.",
4,above,前,～の上に(へ),This place is about 400 meters above sea level.,
5,abroad,副,外国へ（に、で）、海外へ　　※study abroad　　留学する,I want to study abroad in the future.,
6,accept,動,受入れる,We should accept other cultures.,
7,accident,名,事故,I had a car accident.  ,
8,across,前・副,～を横切って、～の向こう側に　　,The park is across the street from the bank.,
9,act,動,行動する、（役を）演じる,We think and act differently in each culture.,
10,action,名,行動、動き,I watched their actions carefully.,
11,active,形,活発な,You should be active in class.,
12,activity,名,活動,We enjoyed a lot of activities in English.,
13,actor,名,俳優,The actor's performance was very good.,
14,actually,副,実際に、実は,"Actually, he wasn't a doctor.",
15,add,動,付け加える,What should I add to my speech?,
16,addition,名,つけ加えること　　　　　※in addition   加えて、さらに、そのうえ,"In addition to him, two other students joined us.",
17,address,名,あて名、住所,Please write your name and address.,
18,adult,名,大人、成人,The fee for an adult is one thousand yen.,
19,advantage,名,有利な立場、利点,Living near the station is a great advantage.,
20,adventure,名,冒険,I like books which have a lot of adventure.,
21,advice,名,忠告、助言、アドバイス,Thank you for your advice.,
22,afraid,形,恐れて、こわがって　　 ※be afraid of ～　～を恐れる,Don’t be afraid of making mistakes.,
23,Africa,名,アフリカ,I want to go to Africa.,
24,after,前・接,～のあとに　　　            ※after school　放課後,I will see you after lunch.,
25,afternoon,名,午後                     　　   ※Good afternoon. こんにちは,I play baseball in the afternoon.,
26,again,副,もう一度、また、（否定文で）二度と,See you again.,
27,against,前,～に対して、～に反対して,She was always against war.,
28,age,名,年齢,I came to Japan at the age of six.,
29,ago,副,～前に　　　※long ago 　ずっと前に,He came to Japan three years ago.,
30,agree,動,賛成する、同意する   ※ agree with～　　～に賛成する,I agree with you.,
31,air,名,空気、大気,We need air and water to live.,
32,air conditioner,名,エアコン,It's too hot.  Let's turn on the air conditioner.,
33,airport,名,空港,There is an airport in Kobe.,
34,album,名,アルバム,This album is very important to me.,
35,all,代・形・副,"①（代・形）すべて（の）～、全部（の）　　
②（副）まったく、すっかり　　　※All right. 　わかました","①All of the students joined the festival.
②Are you all right?",
36,allow,動,許す,Swimming is not allowed at this beach.  ,
37,almost,副,ほとんど,We are almost there.,
38,alone,副,１人で、ただ～だけで,My younger sister was alone until I came back.,
39,along,前,（道・川など）に沿って,He was walking along a dark street.,
40,already,副,すでに、もう,I have already finished my homework.,
41,also,副,～もまた、さらに　　※not only ～but also...  ～だけでなく...もまた,She likes Japanese food. She also likes cooking it.,
42,ALT,名,外国語指導助手（Assistant Language Teacher の略）　　,Our ALT is from America.,
43,although,接,～だけれど,"Although I like dogs, my mother likes cats.",
44,always,副,いつも、常に,I always listen to music.,
45,am,動,"～である、（～に）いる、ある （主語が I の時の現在形） 
 【活用】 am - was - been    ※am ～ing  ～している",I am a junior high school student.,
46,a.m.,副,午前   ,A: What time is it now?   B: It's 10 a.m..,
47,amazing,形,驚くべき、目を見張らせる,That's amazing!,
48,America,名,アメリカ合衆国,Did you enjoy your stay in America?,
49,American,形,アメリカ(人)の,I learned a lot about American history.,
50,among,前,～の間に（で、の）、～の中のひとりで,That singer has become popular among young people.,
51,and,接,～と・・・、そして～,I need a pen and a notebook.,
52,angry,形,怒った、怒って,What’s the matter?  You look angry.,
53,animal,名,動物,I like animals.,
54,animation,名,動画、アニメーション,Japanese animation is famous around the world.,
55,anime,名,（日本の）アニメ,Japanese manga and anime are loved in many countries.,
56,anniversary,名,記念日、～周年,This year is our school's tenth anniversary.,
57,announce,動,発表する,They announced that the train would be late.,
58,another,代・形,"もう一つ（の）、別（の）　　　
※another cup (piece) of～　～をもう一杯（一つ）",Would you like another cup of coffee?,
59,answer,動・名,答え（る）,I will answer your question.,
60,any,形,"①（疑問文・条件文で）いくつかの～、何人かの～　
②（否定文で）１つ（の～）も、１人（の～）も～ない
③（肯定文で）どんな～も","①Do you have any questions?
②I don't have any questions.
③You can ask any question.",
61,anymore,副,（否定文・疑問文で）もう～（でない）,I am not hungry anymore.,
62,anyone,代,"①（肯定文で）誰でも  
②（疑問文で）誰か","①Anyone is welcome to our school festival.
②Does anyone know who he is?",
63,anything,代,"①（肯定文で）何でも  
②（疑問文で）何か","①I can eat anything.
②Do you have anything to do after lunch?",
64,anytime,副,いつでも,You can visit us anytime.,
65,anyway,副,とにかく,"Anyway, let's go back to our classroom.",
66,anywhere,副,"①（肯定文で）どこにでも
②（否定文で）どこにも～ない","①You can sit anywhere.
②Don't go anywhere!",
67,appear,動,現れる,The man appeared after the meeting started.,
68,apple,名,リンゴ,I like apples better than oranges.,
69,April,名,４月,"In April, we can see many flowers.",
70,architect,名,建築家,My dream is to be an architect.,
71,are,動,"～である、（～に）いる、ある （主語が we, you, they などの複数形の時の現在形） ※are ～ing  ～している、しようとしている　
【活用】 are - were - been",We are junior high school students.,
72,area,名,地域、地方,I will show you the shopping area of my town.,
73,arm,名,腕,I broke my right arm when I was playing basketball.,
74,around,前・副,"①（前）～のまわりを（まわって）  　※around the world 　世界中
②（副）～ごろ　　　","①Please sit around the table.
②I arrived there around seven o'clock.",
75,arrival,名,到着,The arrival time of Flight No.771 is 10:30.,
76,arrive,動,到着する,Will she arrive in time?,
77,art,名,美術,I am a member of the art club.,
78,artist,名,芸術家,This picture was painted by a famous artist.,
79,as,前・接・副," ①（接）～するとき　　
 ②（接）～なので　　
 ③（接）～するように
 ④（接・副）as ～ as … 　…と同じくらい～
 ⑤（前）～として","①As I opened the door, the cat came out.
②As I feel sick, I will not go out today.
③As you know, we will have tests tomorrow.
④He is as tall as his father.
⑤He worked very hard as a scientist.",
80,Asia,名,アジア,Japan is a country in Asia.,
81,Asian,形,アジアの,Many people from Asian countries visit Japan every year.,
82,ask,動,たずねる、求める　　　※ask for～　～を求める,Please ask me anything.,
83,assistant,名,店員、助手,My sister works as a shop assistant.,
84,astronaut,名,宇宙飛行士,He is a famous astronaut in Japan.  ,
85,at,前,"①（場所・時間の一点）　～に、～で　　
②～に（向かって）　　　","①I will see you at the station.
②Look at me.",
